CustomerID,Gender,Age,Income,Spending_Score,RFMScore,Clusters
0,male,0,0,0,0,4
1,Male,19,15,39,100,4
2,Male,21,15,81,50,2
3,Female,20,16,6,41.66666667,4
4,Female,23,16,77,91.66666667,2
5,Female,31,17,40,58.33333333,4
6,Female,22,17,76,25,2
7,Female,35,18,6,58.33333333,4
8,Female,23,18,94,83.33333333,2
9,Male,64,19,3,50,4
10,Female,30,19,72,66.66666667,2
11,Male,67,19,14,58.33333333,4
12,Female,35,19,99,41.66666667,2
13,Female,58,20,15,25,4
14,Female,24,20,77,91.66666667,2
15,Male,37,20,13,100,4
16,Male,22,20,79,58.33333333,2
17,Female,35,21,35,91.66666667,4
18,Male,20,21,66,50,2
19,Male,52,23,29,50,4
20,Female,35,23,98,66.66666667,2
21,Male,35,24,35,41.66666667,4
22,Male,25,24,73,50,2
23,Female,46,25,5,75,4
24,Male,31,25,73,83.33333333,2
25,Female,54,28,14,41.66666667,4
26,Male,29,28,82,33.33333333,2
27,Female,45,28,32,41.66666667,4
28,Male,35,28,61,50,2
29,Female,40,29,31,100,4
30,Female,23,29,87,50,2
31,Male,60,30,4,75,4
32,Female,21,30,73,41.66666667,2
33,Male,53,33,4,100,4
34,Male,18,33,92,58.33333333,2
35,Female,49,33,14,66.66666667,4
36,Female,21,33,81,50,2
37,Female,42,34,17,66.66666667,4
38,Female,30,34,73,100,2
39,Female,36,37,26,41.66666667,4
40,Female,20,37,75,100,2
41,Female,65,38,35,33.33333333,4
42,Male,24,38,92,41.66666667,2
43,Male,48,39,36,33.33333333,1
44,Female,31,39,61,50,1
45,Female,49,39,28,33.33333333,4
46,Female,24,39,65,75,2
47,Female,50,40,55,41.66666667,1
48,Female,27,40,47,50,1
49,Female,29,40,42,33.33333333,1
50,Female,31,40,42,50,1
51,Female,49,42,52,75,1
52,Male,33,42,60,50,1
53,Female,31,43,54,33.33333333,1
54,Male,59,43,60,50,1
55,Female,50,43,45,25,1
56,Male,47,43,41,33.33333333,1
57,Female,51,44,50,66.66666667,1
58,Male,69,44,46,66.66666667,1
59,Female,27,46,51,50,1
60,Male,53,46,46,50,1
61,Male,70,46,56,66.66666667,1
62,Male,19,46,55,58.33333333,1
63,Female,67,47,52,58.33333333,1
64,Female,54,47,59,41.66666667,1
65,Male,63,48,51,75,1
66,Male,18,48,59,41.66666667,1
67,Female,43,48,50,41.66666667,1
68,Female,68,48,48,41.66666667,1
69,Male,19,48,59,41.66666667,1
70,Female,32,48,47,50,1
71,Male,70,49,55,50,1
72,Female,47,49,42,33.33333333,1
73,Female,60,50,49,75,1
74,Female,60,50,56,41.66666667,1
75,Male,59,54,47,33.33333333,1
76,Male,26,54,54,41.66666667,1
77,Female,45,54,53,66.66666667,1
78,Male,40,54,48,66.66666667,1
79,Female,23,54,52,66.66666667,1
80,Female,49,54,42,33.33333333,1
81,Male,57,54,51,50,1
82,Male,38,54,55,41.66666667,1
83,Male,67,54,41,33.33333333,1
84,Female,46,54,44,25,1
85,Female,21,54,57,25,1
86,Male,48,54,46,25,1
87,Female,55,57,58,33.33333333,1
88,Female,22,57,55,58.33333333,1
89,Female,34,58,60,50,1
90,Female,50,58,46,33.33333333,1
91,Female,68,59,55,25,1
92,Male,18,59,41,41.66666667,1
93,Male,48,60,49,41.66666667,1
94,Female,40,60,40,75,1
95,Female,32,60,42,41.66666667,1
96,Male,24,60,52,50,1
97,Female,47,60,47,41.66666667,1
98,Female,27,60,50,41.66666667,1
99,Male,48,61,42,58.33333333,1
100,Male,20,61,49,50,1
101,Female,23,62,41,58.33333333,1
102,Female,49,62,48,66.66666667,1
103,Male,67,62,59,50,1
104,Male,26,62,55,33.33333333,1
105,Male,49,62,56,58.33333333,1
106,Female,21,62,42,58.33333333,1
107,Female,66,63,50,58.33333333,1
108,Male,54,63,46,58.33333333,1
109,Male,68,63,43,41.66666667,1
110,Male,66,63,48,91.66666667,1
111,Male,65,63,52,33.33333333,1
112,Female,19,63,54,41.66666667,1
113,Female,38,64,42,100,1
114,Male,19,64,46,58.33333333,1
115,Female,18,65,48,100,1
116,Female,19,65,50,83.33333333,1
117,Female,63,65,43,75,1
118,Female,49,65,59,100,1
119,Female,51,67,43,58.33333333,1
120,Female,50,67,57,100,1
121,Male,27,67,56,41.66666667,1
122,Female,38,67,40,100,1
123,Female,40,69,58,33.33333333,1
124,Male,39,69,91,41.66666667,0
125,Female,23,70,29,58.33333333,3
126,Female,31,70,77,58.33333333,0
127,Male,43,71,35,66.66666667,1
128,Male,40,71,95,58.33333333,0
129,Male,59,71,11,50,3
130,Male,38,71,75,50,0
131,Male,47,71,9,50,3
132,Male,39,71,75,50,0
133,Female,25,72,34,50,1
134,Female,31,72,71,50,0
135,Male,20,73,5,33.33333333,3
136,Female,29,73,88,25,0
137,Female,44,73,7,33.33333333,3
138,Male,32,73,73,58.33333333,0
139,Male,19,74,10,41.66666667,3
140,Female,35,74,72,33.33333333,0
141,Female,57,75,5,33.33333333,3
142,Male,32,75,93,50,0
143,Female,28,76,40,41.66666667,1
144,Female,32,76,87,41.66666667,0
145,Male,25,77,12,75,3
146,Male,28,77,97,33.33333333,0
147,Male,48,77,36,25,3
148,Female,32,77,74,50,0
149,Female,34,78,22,41.66666667,3
150,Male,34,78,90,41.66666667,0
151,Male,43,78,17,50,3
152,Male,39,78,88,41.66666667,0
153,Female,44,78,20,41.66666667,3
154,Female,38,78,76,41.66666667,0
155,Female,47,78,16,58.33333333,3
156,Female,27,78,89,58.33333333,0
157,Male,37,78,1,66.66666667,3
158,Female,30,78,78,66.66666667,0
159,Male,34,78,1,75,3
160,Female,30,78,73,41.66666667,0
161,Female,56,79,35,33.33333333,3
162,Female,29,79,83,41.66666667,0
163,Male,19,81,5,66.66666667,3
164,Female,31,81,93,58.33333333,0
165,Male,50,85,26,66.66666667,3
166,Female,36,85,75,58.33333333,0
167,Male,42,86,20,41.66666667,3
168,Female,33,86,95,33.33333333,0
169,Female,36,87,27,33.33333333,3
170,Male,32,87,63,75,0
171,Male,40,87,13,66.66666667,3
172,Male,28,87,75,50,0
173,Male,36,87,10,50,3
174,Male,36,87,92,33.33333333,0
175,Female,52,88,13,25,3
176,Female,30,88,86,58.33333333,0
177,Male,58,88,15,66.66666667,3
178,Male,27,88,69,50,0
179,Male,59,93,14,58.33333333,3
180,Male,35,93,90,50,0
181,Female,37,97,32,41.66666667,3
182,Female,32,97,86,66.66666667,0
183,Male,46,98,15,50,3
184,Female,29,98,88,50,0
185,Female,41,99,39,66.66666667,3
186,Male,30,99,97,25,0
187,Female,54,101,24,50,3
188,Male,28,101,68,58.33333333,0
189,Female,41,103,17,50,3
190,Female,36,103,85,50,0
191,Female,34,103,23,50,3
192,Female,32,103,69,58.33333333,0
193,Male,33,113,8,25,3
194,Female,38,113,91,25,0
195,Female,47,120,16,33.33333333,3
196,Female,35,120,79,33.33333333,0
197,Female,45,126,28,33.33333333,3
198,Male,32,126,74,33.33333333,0
199,Male,32,137,18,41.66666667,3
200,Male,30,137,83,50,0
201,Male,29,128,70,25,0
